-3333,0x8015,GTX EEPROM TEMPLATE,0x20201001,デバイス情報
147,4,0,1,ulReserveEnd[80]
148,4,0,1,ulReserveEnd[81]
149,4,0,1,ulReserveEnd[82]
150,4,0,1,ulReserveEnd[83]
151,4,0,1,ulReserveEnd[84]
152,4,0,1,ulReserveEnd[85]
153,4,0,1,ulReserveEnd[86]
154,4,0,1,ulReserveEnd[87]
155,4,0,1,ulReserveEnd[88]
156,4,0,1,ulReserveEnd[89]
157,4,0,1,ulReserveEnd[90]
158,4,0,1,ulReserveEnd[91]
159,4,0,1,ulReserveEnd[92]
160,4,0,1,ulReserveEnd[93]
161,4,0,1,ulReserveEnd[94]
162,4,0,1,ulReserveEnd[95]
163,4,0,1,ulReserveEnd[96]
164,4,0,1,ulReserveEnd[97]
165,4,0,1,ulReserveEnd[98]
166,4,0,1,ulReserveEnd[99]
167,4,0,1,ulReserveEnd[100]
168,4,0,1,ulReserveEnd[101]
169,4,0,1,ulReserveEnd[102]
170,4,0,1,ulReserveEnd[103]
171,4,0,1,ulReserveEnd[104]
172,4,0,1,ulReserveEnd[105]
173,4,0,1,ulReserveEnd[106]
174,4,0,1,ulReserveEnd[107]
175,4,0,1,ulReserveEnd[108]
176,4,0,1,ulReserveEnd[109]
177,4,0,1,ulReserveEnd[110]
178,4,0,1,ulReserveEnd[111]
179,4,0,1,ulReserveEnd[112]
180,4,0,1,ulReserveEnd[113]
181,4,0,1,ulReserveEnd[114]
182,4,0,1,ulReserveEnd[115]
183,4,0,1,ulReserveEnd[116]
184,4,0,1,ulReserveEnd[117]
185,4,0,1,ulReserveEnd[118]
186,4,0,1,ulReserveEnd[119]
187,4,0,1,ulReserveEnd[120]
188,4,0,1,ulReserveEnd[121]
189,4,0,1,ulReserveEnd[122]
190,4,0,1,ulReserveEnd[123]
191,4,0,1,ulReserveEnd[124]
192,4,0,1,ulReserveEnd[125]
193,4,0,1,ulReserveEnd[126]
194,4,0,1,ulReserveEnd[127]
195,4,0,1,ulReserveEnd[128]
196,4,0,1,ulReserveEnd[129]
197,4,0,1,ulReserveEnd[130]
198,4,0,1,ulReserveEnd[131]
199,4,0,1,ulReserveEnd[132]
200,4,0,1,ulReserveEnd[133]
201,4,0,1,ulReserveEnd[134]
202,4,0,1,ulReserveEnd[135]
203,4,0,1,ulReserveEnd[136]
204,4,0,1,ulReserveEnd[137]
205,4,0,1,ulReserveEnd[138]
206,4,0,1,ulReserveEnd[139]
207,4,0,1,ulReserveEnd[140]
208,4,0,1,ulReserveEnd[141]
209,4,0,1,ulReserveEnd[142]
210,4,0,1,ulReserveEnd[143]
211,4,0,1,ulReserveEnd[144]
212,4,0,1,ulReserveEnd[145]
213,4,0,1,ulReserveEnd[146]
214,4,0,1,ulReserveEnd[147]
215,4,0,1,ulReserveEnd[148]
216,4,0,1,ulReserveEnd[149]
217,4,0,1,ulReserveEnd[150]
218,4,0,1,ulReserveEnd[151]
219,4,0,1,ulReserveEnd[152]
220,4,0,1,ulReserveEnd[153]
221,4,0,1,ulReserveEnd[154]
222,4,0,1,ulReserveEnd[155]
223,4,0,1,ulReserveEnd[156]
224,4,0,1,ulReserveEnd[157]
225,4,0,1,ulReserveEnd[158]
226,4,0,1,ulReserveEnd[159]
227,4,0,1,ulReserveEnd[160]
228,4,0,1,ulReserveEnd[161]
229,4,0,1,ulReserveEnd[162]
230,4,0,1,ulReserveEnd[163]
231,4,0,1,ulReserveEnd[164]
232,4,0,1,ulReserveEnd[165]
233,4,0,1,ulReserveEnd[166]
234,4,0,1,ulReserveEnd[167]
235,4,0,1,ulReserveEnd[168]
236,4,0,1,ulReserveEnd[169]
